,0,1,2,3,4
0,"[0.0, 'kb']","['kb', 'kb']","['kb', 'kb']","['kb', 'p1']","['kb', 'kb']"
1,"[0.0, 'k1']","['k1', 'k1']","['k1', 'p1']","['k1', 'k1']","['p1', 'k1']"
2,"[0.0, 'k1']","['k1', 'p1']","['k1', 'k1']","['p1', 'k1']","['k1', 'k1']"
3,"[0.0, 'p1']","['k1', 'k1']","['p1', 'k1']","['k1', 'k1']","['k1', 'k1']"
4,"[0.0, 'k1']","['p1', 'k1']","['k1', 'k1']","['k1', 'k1']","['k1', 'p1']"
5,"[0.0, 'p1']","['k1', 'k1']","['p1', 'k1']","['k1', 'k1']","['k1', 'k1']"
6,"[0.0, 'k1']","['k1', 'p1']","['k1', 'k1']","['p1', 'k1']","['k1', 'k1']"
7,"[0.0, 'k1']","['k1', 'k1']","['k1', 'p1']","['k1', 'k1']","['p1', 'k1']"
8,"[0.0, 'kb']","['kb', 'kb']","['kb', 'kb']","['kb', 'p1']","['kb', 'kb']"
9,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
